Regierungskarten (Government) — mit Korruptionswerten
=====================================================

Count: 63

Korruptionssystem: Jede Regierung startet mit einem Lore-Wert (1–3),
steigt/fällt durch Effekte (0–6). Bei Pass beider Spieler: deterministisches
Audit vor der Wertung (Stufe = Korruption + Tier ± Mods, Clamp 0–6;
0–2 sicher / 3–4 Skandal / 5–6 Entfernung). Details: 06_corruption_system.txt.
Ab Korruption 3: aktive Fähigkeit freigeschaltet (1 AP).

- Vladimir Putin [Start-Korruption 3, Tier 2, Einfluss 10] Aktiv (≥3): Vertikale der Macht — deaktiviere schwächste gegnerische Regierung; Selbst +1 Korruption.
- Xi Jinping [Start-Korruption 3, Tier 2, Einfluss 10] Aktiv (≥3): Anti-Korruptions-Kampagne — transferiere 2 Korruption auf ein Ziel.
- Recep Tayyip Erdoğan [Start-Korruption 3, Tier 2, Einfluss 10] Aktiv (≥3): Dekret — annulliere gegnerische Dauerhaft-Aura; Selbst +1 Korruption.
- Justin Trudeau [Start-Korruption 2, Tier 2, Einfluss 8] Aktiv (≥3): Sunny Ways — −1 Korruption; nächstes Audit −1 Stufe.
- Volodymyr Zelenskyy [Start-Korruption 2, Tier 2, Einfluss 9]
- Ursula von der Leyen [Start-Korruption 2, Tier 2, Einfluss 9]
- Narendra Modi [Start-Korruption 2, Tier 2, Einfluss 9]
- Luiz Inácio Lula da Silva [Start-Korruption 2, Tier 2, Einfluss 9]
- Sergey Lavrov [Start-Korruption 2, Tier 2, Einfluss 9] Aktiv (≥3): Njet — annulliere nächsten gegnerischen Korruptionszuwachs.
- Wolfgang Schäuble [Start-Korruption 2, Tier 2, Einfluss 8]
- Jens Stoltenberg [Start-Korruption 2, Tier 2, Einfluss 8]
- Helmut Schmidt [Start-Korruption 2, Tier 2, Einfluss 9]
- Javier Milei [Start-Korruption 2, Tier 2, Einfluss 7]
- Joschka Fischer [Start-Korruption 2, Tier 2, Einfluss 7]
- Kamala Harris [Start-Korruption 2, Tier 2, Einfluss 7]
- Olaf Scholz [Start-Korruption 1, Tier 1, Einfluss 7]
- Rishi Sunak [Start-Korruption 1, Tier 1, Einfluss 7]
- Pedro Sánchez [Start-Korruption 1, Tier 1, Einfluss 6]
- Keir Starmer [Start-Korruption 1, Tier 1, Einfluss 6]
- Robert Gates [Start-Korruption 1, Tier 1, Einfluss 6]
- Karl Rove [Start-Korruption 1, Tier 1, Einfluss 6]
- Shigeru Ishiba [Start-Korruption 1, Tier 1, Einfluss 6]
- Heidemarie Wieczorek-Zeul [Start-Korruption 1, Tier 1, Einfluss 5]
- Renate Künast [Start-Korruption 1, Tier 1, Einfluss 5]
- Rudolf Scharping [Start-Korruption 1, Tier 1, Einfluss 5]
- John Ashcroft [Start-Korruption 1, Tier 1, Einfluss 5]
- Tedros Adhanom Ghebreyesus [Start-Korruption 1, Tier 1, Einfluss 5]
- Tom Ridge [Start-Korruption 1, Tier 1, Einfluss 5]
- Henry Paulson [Start-Korruption 1, Tier 1, Einfluss 6]
- Horst Köhler [Start-Korruption 1, Tier 1, Einfluss 7]
- Johannes Rau [Start-Korruption 1, Tier 1, Einfluss 6]
- John Snow [Start-Korruption 1, Tier 1, Einfluss 4]
- Karl Carstens [Start-Korruption 1, Tier 1, Einfluss 4]
- Hans Eichel [Start-Korruption 1, Tier 1, Einfluss 4]
- Walter Scheel [Start-Korruption 1, Tier 1, Einfluss 4]
- Werner Maihofer [Start-Korruption 1, Tier 1, Einfluss 3]
- Andrzej Duda [Start-Korruption 2, Tier 2, Einfluss 8]
- Anthony Albanese [Start-Korruption 2, Tier 2, Einfluss 8]
- Benjamin Netanyahu [Start-Korruption 3, Tier 2, Einfluss 9] Aktiv (≥3): Koalitionsdisziplin — wasche andere eigene Regierungen; absorbiere die Korruption.
- Dick Cheney [Start-Korruption 2, Tier 2, Einfluss 8] Aktiv (≥3): Schattenregierung — eigene Interventionen +1 Korruption auf Ziele.
- Donald Trump [Start-Korruption 3, Tier 2, Einfluss 10] Aktiv (≥3): Alternative Wahrheit — ignoriere gierigen Pass; +1 Einfluss; Selbst +1 Korruption.
- Ebrahim Raisi [Start-Korruption 3, Tier 2, Einfluss 9] Aktiv (≥3): Schauprozess — Mini-Säuberung (W6 Ziel 3) auf korrupte gegnerische Regierung.
- Emmanuel Macron [Start-Korruption 2, Tier 2, Einfluss 9] Aktiv (≥3): Jupiter — kopiere Korruptions-Einflussbonus der korruptesten gegnerischen Regierung.
- Giorgia Meloni [Start-Korruption 3, Tier 2, Einfluss 9] Aktiv (≥3): Rechtsruck — +2 Einfluss; +1 Korruption wenn stärkste.
- King Charles III [Start-Korruption 2, Tier 2, Einfluss 7]
- Mohammed bin Salman [Start-Korruption 3, Tier 2, Einfluss 10] Aktiv (≥3): Ritz-Carlton-Methode — deaktiviere korrupte gegnerische Regierung oder erzwinge Abwurf.
- Alberto Gonzales [Start-Korruption 1, Tier 1, Einfluss 5]
- Annette Schavan [Start-Korruption 1, Tier 1, Einfluss 5]
- Edelgard Bulmahn [Start-Korruption 1, Tier 1, Einfluss 4]
- Erhard Eppler [Start-Korruption 1, Tier 1, Einfluss 6]
- Franz Josef Jung [Start-Korruption 1, Tier 1, Einfluss 5]
- Friedrich Merz [Start-Korruption 1, Tier 1, Einfluss 6]
- Georg Leber [Start-Korruption 1, Tier 1, Einfluss 5]
- Gerhart Baum [Start-Korruption 1, Tier 1, Einfluss 4]
- Hans Apel [Start-Korruption 1, Tier 1, Einfluss 5]
- Hans Dietrich Genscher [Start-Korruption 2, Tier 2, Einfluss 8]
- Otto Schily [Start-Korruption 1, Tier 1, Einfluss 6]
- Peter Struck [Start-Korruption 1, Tier 1, Einfluss 5]
- Rainer Offergeld [Start-Korruption 1, Tier 1, Einfluss 4]
- Colin Powell [Start-Korruption 2, Tier 2, Einfluss 7]
- Condoleezza Rice [Start-Korruption 2, Tier 2, Einfluss 7]
- Donald Rumsfeld [Start-Korruption 2, Tier 2, Einfluss 7]
- Christine Lagarde [Start-Korruption 2, Tier 2, Einfluss 8] Aktiv (≥3): Kreative Buchführung — verschiebe bis zu 2 Korruption auf sich selbst.
